video_id,title,channel_name,category_id,publish_date,trending_date,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,tags,duration_seconds,thumbnail_link
VID00001,I Challenged A Kid To Build a PC,Shroud,2,2024-01-13,2024-01-25,9278452,412790,12191,36857,FALSE,FALSE,funny|news|trending|viral,3093,https://i.ytimg.com/vi/1/mqdefault.jpg
VID00002,Gaming Setups: Is It Worth It?,TechLead,9,2024-08-02,2024-08-06,15122954,1193602,147195,17973,FALSE,FALSE,news,3360,https://i.ytimg.com/vi/2/mqdefault.jpg
VID00003,I Challenged A Kid To Code,NatGeo,6,2024-05-15,2024-05-28,1507954,140199,11926,44062,FALSE,FALSE,[none],1610,https://i.ytimg.com/vi/3/mqdefault.jpg
VID00004,Surprising A CEO With Electric Cars,T-Series,4,2024-05-28,2024-05-30,7861165,838380,53000,111226,FALSE,FALSE,tutorial|collab,3476,https://i.ytimg.com/vi/4/mqdefault.jpg
VID00005,Teaching My A CEO How To Build a PC,WWE,3,2024-08-24,2024-08-31,9107945,1083411,107907,156215,FALSE,FALSE,trending|reaction,2864,https://i.ytimg.com/vi/5/mqdefault.jpg
VID00006,30 Things You Didn't Know About Python,5-Minute Crafts,4,2024-09-12,2024-09-19,21620529,1424472,67068,176254,FALSE,FALSE,gameplay|news|update|tutorial,2359,https://i.ytimg.com/vi/6/mqdefault.jpg
VID00007,Teaching My A Kid How To Build a PC,Shroud,3,2024-08-04,2024-08-14,2181636,127574,11918,31793,FALSE,FALSE,viral|epic|gameplay|update,1089,https://i.ytimg.com/vi/7/mqdefault.jpg
VID00008,Netflix: Is It Worth It?,CNN,9,2024-04-01,2024-04-10,3620554,387587,20070,70707,FALSE,FALSE,challenge,2554,https://i.ytimg.com/vi/8/mqdefault.jpg
VID00009,The Truth About Coffee Nobody Tells You,Dude Perfect,6,2024-06-06,2024-06-10,1993646,87894,7860,6547,FALSE,FALSE,funny|challenge|prank,3057,https://i.ytimg.com/vi/9/mqdefault.jpg
VID00010,10 Things You Didn't Know About The Internet,Bon Appétit,4,2024-06-08,2024-06-15,22588074,1919710,136940,,TRUE,TRUE,reaction,555,https://i.ytimg.com/vi/10/mqdefault.jpg
VID00011,Teaching My A Kid How To Speedrun,TechLead,1,2024-04-27,2024-04-29,1104043,116988,2330,8724,FALSE,FALSE,review|challenge|unboxing,2800,https://i.ytimg.com/vi/11/mqdefault.jpg
VID00012,The Truth About YouTube Nobody Tells You,NatGeo,7,2024-07-29,2024-08-06,24513726,623068,63231,483881,FALSE,FALSE,shorts|epic|reaction,308,https://i.ytimg.com/vi/12/mqdefault.jpg
VID00013,The Truth About Calories Nobody Tells You,TED,2,2024-08-14,2024-08-27,18515853,551603,55877,308789,FALSE,FALSE,[none],120,https://i.ytimg.com/vi/13/mqdefault.jpg
VID00014,I Spent 100 Days Streaming And This Happened,Vox,1,2024-03-25,2024-04-01,122322,14498,683,2903,FALSE,FALSE,news|unboxing,1923,https://i.ytimg.com/vi/14/mqdefault.jpg
VID00015,Traveling For 24 Hours Straight,T-Series,1,2024-10-26,2024-11-03,16922858,1894322,159800,44837,FALSE,FALSE,[none],2140,https://i.ytimg.com/vi/15/mqdefault.jpg
VID00016,How Netflix Actually Works,Smosh,10,2024-01-21,2024-01-31,2800906,173439,15906,45264,FALSE,FALSE,shorts,1128,https://i.ytimg.com/vi/16/mqdefault.jpg
VID00017,The Truth About JavaScript Nobody Tells You,Veritasium,10,2024-10-15,2024-10-17,2508221,185015,14953,12142,FALSE,FALSE,[none],1489,https://i.ytimg.com/vi/17/mqdefault.jpg
VID00018,How Calories Actually Works,MKBHD,1,2024-10-10,2024-10-15,22309631,677290,90037,193413,FALSE,FALSE,science|challenge|gameplay|prank|vlog,498,https://i.ytimg.com/vi/18/mqdefault.jpg
VID00019,The Truth About GPUs Nobody Tells You,PewDiePie,7,2024-05-21,2024-05-22,168973,9015,255,4970,FALSE,FALSE,top10|news|viral|trending|science,721,https://i.ytimg.com/vi/19/mqdefault.jpg
VID00020,30 Things You Didn't Know About Space,Mark Rober,7,2024-03-06,2024-03-07,10393433,586866,82532,303422,FALSE,FALSE,review|reaction,223,https://i.ytimg.com/vi/20/mqdefault.jpg
VID00021,Why Everyone Is Wrong About Crypto,Red Bull,3,2024-07-30,2024-07-31,6068345,568339,32114,169875,FALSE,FALSE,reaction|gameplay|tutorial|update|collab,3345,https://i.ytimg.com/vi/21/mqdefault.jpg
VID00022,24 Things You Didn't Know About Fast Food,BuzzFeed,4,2024-04-24,2024-04-25,22197038,872631,48829,578593,FALSE,FALSE,collab|prank,3227,https://i.ytimg.com/vi/22/mqdefault.jpg
VID00023,100 Things You Didn't Know About Crypto,Smosh,5,2024-01-20,2024-01-22,20067609,1273417,142618,,TRUE,FALSE,epic|update|review|challenge,2543,https://i.ytimg.com/vi/23/mqdefault.jpg
VID00024,How Electric Cars Actually Works,PewDiePie,6,2024-06-09,2024-06-20,4231731,389215,20256,42187,FALSE,FALSE,update|vlog,1732,https://i.ytimg.com/vi/24/mqdefault.jpg
VID00025,The Best Gaming Setups Ranked,BuzzFeed,7,2024-10-07,2024-10-21,63621,3205,126,1513,FALSE,FALSE,shorts|top10|prank|reaction|science,2544,https://i.ytimg.com/vi/25/mqdefault.jpg
VID00026,Why Everyone Is Wrong About Coffee,Dream,10,2024-06-20,2024-06-22,7930882,692203,28691,53729,FALSE,FALSE,[none],160,https://i.ytimg.com/vi/26/mqdefault.jpg
VID00027,I Tried Space For 30 Days,Linus Tech Tips,7,2024-09-10,2024-09-17,8236759,286286,30422,221462,FALSE,FALSE,epic|news|reaction|funny|update|collab,3584,https://i.ytimg.com/vi/27/mqdefault.jpg
VID00028,How Algorithms Actually Works,MKBHD,9,2024-06-11,2024-06-24,14900299,1210876,134041,233019,FALSE,FALSE,top10|tutorial|unboxing|reaction,3462,https://i.ytimg.com/vi/28/mqdefault.jpg
VID00029,Surprising My Mom With Crypto,WWE,5,2024-08-13,2024-08-15,23992592,1165387,55985,246441,FALSE,FALSE,[none],2272,https://i.ytimg.com/vi/29/mqdefault.jpg
VID00030,Teaching My A Pro Gamer How To Cook,Corridor Crew,6,2024-10-04,2024-10-12,14001068,367200,46489,172140,FALSE,FALSE,viral|update|unboxing|science,3213,https://i.ytimg.com/vi/30/mqdefault.jpg
VID00031,How Sleep Science Actually Works,CNN,7,2024-09-05,2024-09-06,13097882,702216,73788,166672,FALSE,TRUE,top10|challenge|viral|science|review|vlog,736,https://i.ytimg.com/vi/31/mqdefault.jpg
VID00032,Gaming Setups Tier List 2024,CNN,7,2024-06-16,2024-06-20,15307177,806452,94009,183604,FALSE,FALSE,news|gameplay|funny|reaction|viral|collab,3140,https://i.ytimg.com/vi/32/mqdefault.jpg
VID00033,Surprising A Stranger With Electric Cars,Bon Appétit,1,2024-05-06,2024-05-10,733839,60272,2615,10811,FALSE,FALSE,review|top10|gameplay|update,528,https://i.ytimg.com/vi/33/mqdefault.jpg
VID00034,I Tried JavaScript For 30 Days,Smosh,1,2024-06-08,2024-06-18,22778003,2523862,157849,644677,FALSE,FALSE,[none],872,https://i.ytimg.com/vi/34/mqdefault.jpg
VID00035,How Space Actually Works,Red Bull,2,2024-10-16,2024-10-29,1428051,78143,5467,16774,FALSE,FALSE,shorts|viral|news|unboxing|reaction,2132,https://i.ytimg.com/vi/35/mqdefault.jpg
VID00036,The Best Sleep Science Ranked,Gordon Ramsay,9,2024-05-18,2024-05-28,18108086,1764889,132511,451729,FALSE,FALSE,shorts|reaction,2486,https://i.ytimg.com/vi/36/mqdefault.jpg
VID00037,Reacting to Algorithms For The First Time,Dream,7,2024-06-21,2024-06-22,16636173,1748383,61993,118973,FALSE,FALSE,shorts|gameplay,3327,https://i.ytimg.com/vi/37/mqdefault.jpg
VID00038,Surprising A Pro Gamer With GPUs,WWE,7,2024-09-07,2024-09-16,8113933,722634,72571,123606,FALSE,FALSE,[none],3307,https://i.ytimg.com/vi/38/mqdefault.jpg
VID00039,Surprising My Best Friend With Electric Cars,MKBHD,6,2024-08-05,2024-08-17,18517972,982917,106547,164005,FALSE,FALSE,epic,1089,https://i.ytimg.com/vi/39/mqdefault.jpg
VID00040,Reacting to JavaScript For The First Time,Gordon Ramsay,8,2024-05-21,2024-06-02,19833253,2333594,194736,,TRUE,FALSE,review|vlog|reaction|tutorial|funny|challenge,471,https://i.ytimg.com/vi/40/mqdefault.jpg
VID00041,Traveling For 24 Hours Straight,Shroud,8,2024-02-22,2024-03-07,461558,35727,2705,6357,FALSE,FALSE,[none],815,https://i.ytimg.com/vi/41/mqdefault.jpg
VID00042,Reacting to Python For The First Time,Shroud,1,2024-03-18,2024-03-21,18935762,2175956,47708,155226,FALSE,FALSE,news|reaction|update|prank|top10|challenge,2345,https://i.ytimg.com/vi/42/mqdefault.jpg
VID00043,We Tested Every The Internet So You Don't Have To,Dude Perfect,4,2024-04-18,2024-04-23,22210291,624525,27217,377747,FALSE,FALSE,[none],701,https://i.ytimg.com/vi/43/mqdefault.jpg
VID00044,The Truth About Electric Cars Nobody Tells You,BuzzFeed,8,2024-02-06,2024-02-17,7882403,885911,106571,150764,FALSE,FALSE,review|news|epic|gameplay|unboxing|shorts,2768,https://i.ytimg.com/vi/44/mqdefault.jpg
VID00045,Surprising My Mom With YouTube,Gordon Ramsay,10,2024-05-27,2024-06-04,4222616,282365,14844,53512,FALSE,FALSE,science|unboxing|top10|trending,1175,https://i.ytimg.com/vi/45/mqdefault.jpg
VID00046,How Calories Actually Works,WWE,10,2024-10-27,2024-10-28,22608026,2309231,209388,522927,FALSE,FALSE,prank|top10|gameplay,777,https://i.ytimg.com/vi/46/mqdefault.jpg
VID00047,Teaching My A Kid How To Stream,5-Minute Crafts,6,2024-02-23,2024-03-08,5446386,288551,30907,50969,FALSE,FALSE,science|trending|top10|prank|tutorial|challenge,1700,https://i.ytimg.com/vi/47/mqdefault.jpg
VID00048,The Best Calories Ranked,Veritasium,7,2024-01-28,2024-02-01,17445939,980076,113592,333860,FALSE,FALSE,[none],3172,https://i.ytimg.com/vi/48/mqdefault.jpg
VID00049,24 Things You Didn't Know About Calories,Shroud,10,2024-05-02,2024-05-14,5364289,273981,3264,68833,FALSE,FALSE,epic|top10|science|shorts|news|funny,980,https://i.ytimg.com/vi/49/mqdefault.jpg
VID00050,Teaching My A Stranger How To Code,Veritasium,9,2024-03-15,2024-03-22,6445822,723136,58685,170817,FALSE,FALSE,[none],3599,https://i.ytimg.com/vi/50/mqdefault.jpg
VID00051,I Tried Smartphones For 30 Days,BuzzFeed,5,2024-10-27,2024-11-06,22193937,1530583,47147,368837,FALSE,FALSE,science|update,1473,https://i.ytimg.com/vi/51/mqdefault.jpg
VID00052,We Tested Every Sleep Science So You Don't Have To,T-Series,6,2024-08-30,2024-09-11,12841994,752641,77459,318503,FALSE,FALSE,trending|challenge|shorts,683,https://i.ytimg.com/vi/52/mqdefault.jpg
VID00053,Why Everyone Is Wrong About Gaming Setups,Mark Rober,7,2024-03-20,2024-03-22,15803490,1551152,73064,301444,FALSE,FALSE,funny|shorts|update|tutorial|prank,1688,https://i.ytimg.com/vi/53/mqdefault.jpg
VID00054,Reacting to Coffee For The First Time,Dream,5,2024-04-26,2024-05-08,3082627,195429,4647,,TRUE,FALSE,tutorial|vlog|viral,471,https://i.ytimg.com/vi/54/mqdefault.jpg
VID00055,How Sleep Science Actually Works,MKBHD,7,2024-10-16,2024-10-27,6091706,225383,4745,159933,FALSE,FALSE,reaction|unboxing|challenge|epic|science,2598,https://i.ytimg.com/vi/55/mqdefault.jpg
VID00056,We Tested Every Smartphones So You Don't Have To,SSSniperWolf,3,2024-02-07,2024-02-15,11645258,1383051,71754,336534,FALSE,FALSE,top10|vlog,2887,https://i.ytimg.com/vi/56/mqdefault.jpg
VID00057,I Tried YouTube For 30 Days,Smosh,5,2024-05-31,2024-06-01,22136527,1318906,14684,577474,FALSE,FALSE,trending|unboxing|vlog|update|top10,3247,https://i.ytimg.com/vi/57/mqdefault.jpg
VID00058,Teaching My A CEO How To Draw,Bon Appétit,3,2024-02-19,2024-03-05,21104000,1786117,95111,290894,FALSE,FALSE,challenge|funny,2433,https://i.ytimg.com/vi/58/mqdefault.jpg
VID00059,Smartphones: Is It Worth It?,MKBHD,9,2024-05-19,2024-06-02,5571194,254586,31939,83420,FALSE,FALSE,shorts|epic,3363,https://i.ytimg.com/vi/59/mqdefault.jpg
VID00060,The Best The Internet Ranked,PewDiePie,7,2024-01-08,2024-01-13,18054379,584219,35989,410219,FALSE,TRUE,update|collab|epic|shorts,1133,https://i.ytimg.com/vi/60/mqdefault.jpg
VID00061,The Truth About GPUs Nobody Tells You,Shroud,8,2024-06-03,2024-06-14,13750135,435433,7118,28588,FALSE,FALSE,[none],2077,https://i.ytimg.com/vi/61/mqdefault.jpg
VID00062,We Tested Every GPUs So You Don't Have To,TechLead,9,2024-08-02,2024-08-12,24956415,2312459,309772,498946,FALSE,FALSE,news|gameplay|trending,3474,https://i.ytimg.com/vi/62/mqdefault.jpg
VID00063,The Truth About Gaming Setups Nobody Tells You,NatGeo,9,2024-07-02,2024-07-03,13409349,638126,92878,,TRUE,FALSE,funny|review|viral,3435,https://i.ytimg.com/vi/63/mqdefault.jpg
VID00064,How AI Actually Works,Smosh,4,2024-04-29,2024-05-05,5001096,494430,46198,45214,FALSE,FALSE,science,652,https://i.ytimg.com/vi/64/mqdefault.jpg
VID00065,100 Things You Didn't Know About Sleep Science,Smosh,6,2024-01-09,2024-01-12,8954256,226004,25728,145564,FALSE,FALSE,[none],3114,https://i.ytimg.com/vi/65/mqdefault.jpg
VID00066,The Best Space Ranked,Ninja,1,2024-09-23,2024-09-28,15419356,1300377,18674,461948,FALSE,FALSE,news|epic|unboxing,3530,https://i.ytimg.com/vi/66/mqdefault.jpg
VID00067,10 Things You Didn't Know About Sleep Science,CNN,10,2024-10-26,2024-11-04,23945882,1257602,187694,392380,FALSE,FALSE,news|epic|prank|science,1918,https://i.ytimg.com/vi/67/mqdefault.jpg
VID00068,Coding For 24 Hours Straight,5-Minute Crafts,8,2024-07-23,2024-07-30,24531733,723896,50489,,TRUE,FALSE,unboxing,1593,https://i.ytimg.com/vi/68/mqdefault.jpg
VID00069,I Tried Calories For 30 Days,T-Series,10,2024-10-14,2024-10-23,11111083,966678,65263,292606,FALSE,FALSE,trending|vlog|prank,3133,https://i.ytimg.com/vi/69/mqdefault.jpg
VID00070,Electric Cars Tier List 2024,NatGeo,9,2024-07-07,2024-07-09,9397198,727437,89482,239717,FALSE,FALSE,science|viral|gameplay|prank|funny|challenge,3203,https://i.ytimg.com/vi/70/mqdefault.jpg
VID00071,Gaming Setups Tier List 2024,Dream,7,2024-02-05,2024-02-08,24912795,2075664,29665,563956,FALSE,FALSE,news|top10|shorts,941,https://i.ytimg.com/vi/71/mqdefault.jpg
VID00072,How Algorithms Actually Works,Vsauce,10,2024-01-26,2024-02-06,2787421,131594,13510,42045,FALSE,FALSE,gameplay|review|epic,1870,https://i.ytimg.com/vi/72/mqdefault.jpg
VID00073,Teaching My A CEO How To Stream,T-Series,4,2024-07-21,2024-07-31,1888177,39214,2046,13454,FALSE,FALSE,gameplay|vlog|shorts|trending|viral|reaction,622,https://i.ytimg.com/vi/73/mqdefault.jpg
VID00074,Coding For 24 Hours Straight,NASA,6,2024-02-06,2024-02-13,24948775,604514,7631,691423,FALSE,FALSE,news|update,3591,https://i.ytimg.com/vi/74/mqdefault.jpg
VID00075,100 Things You Didn't Know About GPUs,Veritasium,6,2024-02-15,2024-02-22,3602177,159690,14762,,TRUE,FALSE,vlog|shorts|reaction|tutorial|update|funny,1681,https://i.ytimg.com/vi/75/mqdefault.jpg
VID00076,How Netflix Actually Works,NASA,3,2024-04-30,2024-05-02,4963852,226335,7760,26969,FALSE,FALSE,funny|tutorial|unboxing|reaction|update,3169,https://i.ytimg.com/vi/76/mqdefault.jpg
VID00077,Reacting to Gaming Setups For The First Time,Mark Rober,8,2024-02-04,2024-02-12,14888040,1237769,150371,,TRUE,FALSE,funny|vlog|top10|reaction,1501,https://i.ytimg.com/vi/77/mqdefault.jpg
